,video_id,artist,song
39076,66Zw9sKfjOE,"J. Balvin, Wisin, Yandel",Peligrosa (Audio)
39094,VY1eFxgRR-k,Selena Gomez,Back To You
39192,tN_8CwE8ULI,Meghan Trainor,Let You Be Right
39288,VY1eFxgRR-k,Selena Gomez,Back To You
39310,41PTANtZFW0,Troye Sivan,Bloom
39317,BmLSua7LPR8,Chris Brown,Hope You Do
39348,NB3gWkhLkxM,The Internet,Come Over
39445,tN_8CwE8ULI,Meghan Trainor,Let You Be Right
39498,VY1eFxgRR-k,Selena Gomez,Back To You
39527,BmLSua7LPR8,Chris Brown,Hope You Do
39535,41PTANtZFW0,Troye Sivan,Bloom
39586,v4YkNoAun2w,Rich The Kid,Bring It Back
39596,NB3gWkhLkxM,The Internet,Come Over
39613,1-EtUdRLJ60,Kane Brown,Lose It (Audio)
39723,VY1eFxgRR-k,Selena Gomez,Back To You
39753,v4YkNoAun2w,Rich The Kid,Bring It Back
39775,BmLSua7LPR8,Chris Brown,Hope You Do
39815,41PTANtZFW0,Troye Sivan,Bloom
39994,mUYsp5baMXo,Maroon 5,Three Little Birds
40005,v4YkNoAun2w,Rich The Kid,Bring It Back
40058,VY1eFxgRR-k,Selena Gomez,Back To You
40253,mUYsp5baMXo,Maroon 5,Three Little Birds
40262,v4YkNoAun2w,Rich The Kid,Bring It Back
40336,DGzy8FE1Rhk,Shawn Mendes,Nervous
40563,DGzy8FE1Rhk,Shawn Mendes,Nervous
40797,DGzy8FE1Rhk,Shawn Mendes,Nervous
40842,QGmIkreNmQ4,MAGIC!,Kiss Me
