,video_id,artist,song
21111,BQ31l1gPGKM,J. Balvin,Ahora
21132,LPTlvQ1Zet0,"21 Savage, Offset, Metro Boomin",Ric Flair Drip
21147,XR7Ev14vUh8,"The Weeknd, Kendrick Lamar",Pray For Me (Lyric Video)
21160,kton-qrKNLc,Meghan Trainor,No Excuses
21332,LPTlvQ1Zet0,"21 Savage, Offset, Metro Boomin",Ric Flair Drip
21341,XR7Ev14vUh8,"The Weeknd, Kendrick Lamar",Pray For Me (Lyric Video)
21348,QdnvoWyoiY0,Chris Brown,Tempo
21357,kton-qrKNLc,Meghan Trainor,No Excuses
21388,xuAH21DkJow,P!nk,Whatever You Want
21531,LPTlvQ1Zet0,"21 Savage, Offset, Metro Boomin",Ric Flair Drip
21547,XR7Ev14vUh8,"The Weeknd, Kendrick Lamar",Pray For Me (Lyric Video)
21548,QdnvoWyoiY0,Chris Brown,Tempo
21558,kton-qrKNLc,Meghan Trainor,No Excuses
21625,xuAH21DkJow,P!nk,Whatever You Want
21737,LPTlvQ1Zet0,"21 Savage, Offset, Metro Boomin",Ric Flair Drip
21756,QdnvoWyoiY0,Chris Brown,Tempo
21761,XR7Ev14vUh8,"The Weeknd, Kendrick Lamar",Pray For Me (Lyric Video)
21803,kton-qrKNLc,Meghan Trainor,No Excuses
21946,LPTlvQ1Zet0,"21 Savage, Offset, Metro Boomin",Ric Flair Drip
21965,ToY6sjSV8h8,Rich The Kid,Plug Walk
21993,QdnvoWyoiY0,Chris Brown,Tempo
21997,XR7Ev14vUh8,"The Weeknd, Kendrick Lamar",Pray For Me (Lyric Video)
22075,kton-qrKNLc,Meghan Trainor,No Excuses
22180,ToY6sjSV8h8,Rich The Kid,Plug Walk
22284,LPTlvQ1Zet0,"21 Savage, Offset, Metro Boomin",Ric Flair Drip
22298,QdnvoWyoiY0,Chris Brown,Tempo
22425,ToY6sjSV8h8,Rich The Kid,Plug Walk
22464,ByfFurjQDb0,"Calum Scott, Leona Lewis",You Are The Reason (Duet Version)
22503,37lXjnflt9M,Years & Years,Sanctify
22550,Ph54wQG8ynk,Camila Cabello,Never Be the Same
22680,ToY6sjSV8h8,Rich The Kid,Plug Walk
22748,Ph54wQG8ynk,Camila Cabello,Never Be the Same
22816,#NAME?,Maluma,El Préstamo
22866,O8hm2Ml-pA8,Khalid,Fast Car (Tracy Chapman cover) in the Live Lounge
22941,Ph54wQG8ynk,Camila Cabello,Never Be the Same
23019,#NAME?,Maluma,El Préstamo
23151,Ph54wQG8ynk,Camila Cabello,Never Be the Same
23180,#NAME?,Maluma,El Préstamo
23365,Ph54wQG8ynk,Camila Cabello,Never Be the Same
23394,#NAME?,Maluma,El Préstamo
23565,Ph54wQG8ynk,Camila Cabello,Never Be the Same
23594,#NAME?,Maluma,El Préstamo
23760,Txlk7PiHaGk,Imagine Dragons,Next To Me
23777,Thvm6dADOms,Brett Young,Mercy
23996,Thvm6dADOms,Brett Young,Mercy
24009,Txlk7PiHaGk,Imagine Dragons,Next To Me
24031,1YQDddDKz_I,Marianas Trench,Rhythm of Your Heart
24190,XvIpLfV5GKo,The Chainsmokers,Everybody Hates Me (Audio)
24236,Thvm6dADOms,Brett Young,Mercy
24279,1YQDddDKz_I,Marianas Trench,Rhythm of Your Heart
24283,Txlk7PiHaGk,Imagine Dragons,Next To Me
24401,XvIpLfV5GKo,The Chainsmokers,Everybody Hates Me (Audio)
24446,BBt9Vbv5-Dw,Jeremih,Forever I'm Ready (Audio)
24654,XvIpLfV5GKo,The Chainsmokers,Everybody Hates Me (Audio)
25601,gNTIOZ3jJJo,Marilyn Manson,Tattooed In Reverse (Music Video)
25707,fDeL-hJwf2s,Lil Yachty,COUNT ME IN
25715,_Y_a0PWlBr8,Breaking Benjamin,Psycho (Audio Only)
25858,gNTIOZ3jJJo,Marilyn Manson,Tattooed In Reverse (Music Video)
26146,HE8SYbMsm0E,"Trouble, Drake, Mike WiLL Made-It",Bring It Back
26309,YWUPjVxTRIM,Rich The Kid,Dead Friends (Audio)
26360,HE8SYbMsm0E,"Trouble, Drake, Mike WiLL Made-It",Bring It Back
26472,YWUPjVxTRIM,Rich The Kid,Dead Friends (Audio)
26586,HE8SYbMsm0E,"Trouble, Drake, Mike WiLL Made-It",Bring It Back
26841,T8lWjQRhQXY,Lady Gaga,Your Song (Audio)
26894,HE8SYbMsm0E,"Trouble, Drake, Mike WiLL Made-It",Bring It Back
26965,zVc-K1kKkVk,SZA,Broken Clocks
26973,T8lWjQRhQXY,Lady Gaga,Your Song (Audio)
27139,LuJb3yH09Ik,X Ambassadors,Ahead Of Myself (Acoustic)
27144,jY3lRSmdLQg,"Kygo, Miguel",Remind Me to Forget (Audio)
27214,zVc-K1kKkVk,SZA,Broken Clocks
27225,T8lWjQRhQXY,Lady Gaga,Your Song (Audio)
27344,LuJb3yH09Ik,X Ambassadors,Ahead Of Myself (Acoustic)
27351,jY3lRSmdLQg,"Kygo, Miguel",Remind Me to Forget (Audio)
27503,FCfP7v9x8HI,Prince Royce,El Clavo
27509,zVc-K1kKkVk,SZA,Broken Clocks
27534,DKPCBAlDw2A,The Chainsmokers,Everybody Hates Me
27574,LuJb3yH09Ik,X Ambassadors,Ahead Of Myself (Acoustic)
27588,jY3lRSmdLQg,"Kygo, Miguel",Remind Me to Forget (Audio)
27728,PVbQrvlB_gw,Eminem,Framed
27743,DKPCBAlDw2A,The Chainsmokers,Everybody Hates Me
